"Game Number","Team 1","Team 2","Winner","Team 1 is Winner of","Team 2 is Winner of","Team 1 is Loser of","Team 2 is Loser of","Num Ots","Cupdifs"
"1","Vapisevan vankka sihti","Ilmoittamaton"," "," "," "," "," ","0","0"
"2","Pasilapojat","Viinikerho"," "," "," "," "," ","0","0"
"3","Ponteva","UUSI TIIMI"," "," "," "," "," ","0","0"
"4","Marilyn","Heavenly Peace Gods from Heaven 777"," "," "," "," "," ","0","0"
"5","Hold My Beer","Tunteella ja ammattitaidolla"," "," "," "," "," ","0","0"
"6","Ossinlampi Lakers","Börsta"," "," "," "," "," ","0","0"
"7","Beer hunters","Team Tatu pelaa korista"," "," "," "," "," ","0","0"
"8","BPC Clinical Blyat","vastaan"," "," "," "," "," ","0","0"
"9","Speden Surma","The Plastered Penguins"," "," "," "," "," ","0","0"
"10","KummalKädelHeitetään","Ingenjörer"," "," "," "," "," ","0","0"
"11","Tikrut","Simppu1-Simppu2"," "," "," "," "," ","0","0"
"12","Kyllä tytötkin osuu. Ehkä.","Händärihuijarit"," "," "," "," "," ","0","0"
"13","Homoita","Kaljaweljet"," "," "," "," "," ","0","0"
"14","Joukkueen nimi","OuluYksJaPuol"," "," "," "," "," ","0","0"
"15","Eläkeläiset","TPB"," "," "," "," "," ","0","0"
"16","Team Tukkimiehet","It's coming home"," "," "," "," "," ","0","0"
"17","Niskalan Paronit","Nahkaparonit"," "," "," "," "," ","0","0"
"18","Team","Star frame"," "," "," "," "," ","0","0"
"19","Beast Mode","Team Laatta"," "," "," "," "," ","0","0"
"20","mahtimursut","#SPLÖH"," "," "," "," "," ","0","0"
"21","Horus Ecole","Hembo1"," "," "," "," "," ","0","0"
"22","Dynamic Duo","Soppasamut"," "," "," "," "," ","0","0"
"23","Balotalli ja kannettava","Klubitakinkääntäjät 1"," "," "," "," "," ","0","0"
"24","1 shot tuffälek","Klubitakinkääntäjät 2"," "," "," "," "," ","0","0"
"25","Pienet Pallerot","Fibeli"," "," "," "," "," ","0","0"
"26","Pyhän Katariinan Neitsyet","Throwireissu"," "," "," "," "," ","0","0"
"27","DicciHiiret","GSU 2Balls1Cup"," "," "," "," "," ","0","0"
"28","YGAC","96 Bulls"," "," "," "," "," ","0","0"
"29","McDaddy 5G","Los catto?"," "," "," "," "," ","0","0"
"30","Speedy Boyz","TRE BOiZZ"," "," "," "," "," ","0","0"
